id,band,service,call,freq,status,live,class,city,state,country,lat,lon,erp,erp_night,haat,hours,directional,licensee,channel,virtual,network,atsc3,relay
AM106053,AM,AM,CFHS,530,CP,1,C,FORT FRANCES,ON,CA,48.609667,-93.400139,0.05,0.05,,U,,-,,,,,
AM106051,AM,AM,CHLO,530,CP,1,B,BRAMPTON,ON,CA,43.588056,-79.883889,1.0,0.25,,DN,,-,,,,,
AM106054,AM,AM,CIRS,530,CP,1,C,SAULT STE MARIE,ON,CA,46.516694,-84.350028,0.05,0.05,,U,,-,,,,,
AM106052,AM,AM,CJFT,530,CP,1,C,FORT ERIE,ON,CA,42.897833,-78.95725,0.25,0.25,,U,Y,-,,,,,
AM137080,AM,AM,CKHL,530,CP,1,C,HIGH LEVEL,AB,CA,58.507861,-117.148028,1.0,0.25,,DN,,-,,,,,
AM106048,AM,AM,CKHL,530,CP,1,C,HIGH LEVEL,AB,CA,58.507861,-117.148028,0.4,0.25,,DN,,-,,,,,
AM99011,AM,AM,CB 54,540,CP,1,C,MELIPILLA,-,CI,-33.7,-71.233333,1.0,1.0,,DN,,-,,,,,
AM106059,AM,AM,CBEF,540,CP,1,B,WINDSOR,ON,CA,42.14725,-83.092417,2.5,5.0,,DN,Y,-,,,,,
AM106061,AM,AM,CBGA-1,540,CP,1,B,NEW CARLISLE,QC,CA,47.813917,-65.146639,10.0,10.0,,DN,Y,-,,,,,
AM106062,AM,AM,CBK,540,CP,1,A,WATROUS,SK,CA,51.680028,-105.4475,50.0,50.0,,U,,-,,,,,
AM106056,AM,AM,CBT,540,CP,1,A,GRAND FALLS,NF,CA,48.95,-55.626389,10.0,10.0,,DN,,-,,,,,
AM99012,AM,AM,CD 54,540,CP,1,B,VALDIVIA,-,CI,-39.783333,-73.233333,5.0,1.0,,DN,,-,,,,,
AM106060,AM,AM,CHIC,540,CP,1,B,CHICOUTIMI,QC,CA,48.366667,-71.082917,10.0,10.0,,DN,Y,-,,,,,
AM106058,AM,AM,CJSB,540,CP,1,B,OTTAWA,ON,CA,45.189222,-75.779139,50.0,12.5,,DN,Y,-,,,,,
AM792291,AM,AM,CKBO,540,CP,1,C,COAL HARBOUR,BC,CA,50.614167,-127.569722,0.04,0.04,,DN,,-,,,,,
AM99015,AM,AM,CMNA,540,CP,1,C,MANZANILLO,-,CU,20.333806,-77.132667,1.0,1.0,,DN,,-,,,,,
AM99017,AM,AM,HCFA2,540,CP,1,A,GUAYAQUIL,-,EC,-2.183333,-79.933333,50.0,25.0,,DN,,-,,,,,
AM99016,AM,AM,HICM,540,CP,1,C,S DOMINGO,-,DO,18.483333,-69.833333,5.0,1.0,,DN,,-,,,,,
AM99013,AM,AM,HJKA,540,CP,1,A,BOGOTA,-,CO,4.6,-74.083333,10.0,10.0,,DN,,-,,,,,
AM99020,AM,AM,HOU 23,540,CP,1,C,RADIO MIA,-,PM,8.483333,-82.416667,10.0,10.0,,DN,,-,,,,,
AM145,AM,AM,KDFT,540,LIC,1,D,FERRIS,TX,US,32.513194,-96.574722,1.0,0.249,,DN,Y,"WAY BROADCASTING LICENSEE, LLC",,,,,
AM35249,AM,AM,KMLB,540,LIC,1,D,MONROE,LA,US,32.622083,-92.064306,4.0,0.026,,DN,,"HOLLADAY BROADCASTING OF LOUISIANA, LLC",,,,,
AM58915,AM,AM,KNMX,540,LIC,1,D,LAS VEGAS,NM,US,35.573667,-105.171944,5.0,0.02,,DN,Y,"SANGRE DE CRISTO BROADCASTING CO., INC.",,,,,
AM9849,AM,AM,KRXA,540,LIC,1,B,CARMEL VALLEY,CA,US,36.659972,-121.542444,10.0,0.5,,DN,Y,EL SEMBRADOR MINISTRIES,,,,,
AM51177,AM,AM,KVIP,540,LIC,1,D,REDDING,CA,US,40.623472,-122.281389,2.5,0.014,,DN,,PACIFIC CASCADE COMMUNICATIONS CORPORATION,,,,,
AM35891,AM,AM,KWMT,540,LIC,1,D,FORT DODGE,IA,US,42.495806,-94.209417,5.0,0.17,,DN,Y,ALPHA 3E LICENSEE LLC,,,,,
AM98988,AM,AM,LRA14,540,CP,1,B,SANTA FE,-,AR,-31.65,-60.716667,25.0,5.0,,DN,,-,,,,,
AM98989,AM,AM,LRA25,540,CP,1,B,TARTAGAL,-,AR,-22.533333,-63.816667,5.0,5.0,,DN,,-,,,,,
AM98986,AM,AM,LRF376,540,CP,1,B,BAHIA THETIS,-,AR,-54.616667,-65.233333,25.0,5.0,,DN,,-,,,,,
AM98987,AM,AM,LU17,540,CP,1,B,PUERTO MADRY,-,AR,-42.766667,-65.033333,25.0,5.0,,DN,,-,,,,,
AM99014,AM,AM,TICAL,540,CP,1,B,CARTAGO,-,CR,9.883333,-83.933333,10.0,10.0,,DN,,-,,,,,
AM51141,AM,AM,WASG,540,LIC,1,D,DAPHNE,AL,US,30.746028,-88.094167,2.5,0.019,,DN,,ALABAMA RADIO CORPORATION,,,,,
AM10824,AM,AM,WAUK,540,LIC,1,B,JACKSON,WI,US,43.333333,-88.153139,0.4,0.4,,DN,Y,"CIVIC MEDIA, INC.",,,,,
AM37805,AM,AM,WBWD,540,LIC,1,B,ISLIP,NY,US,40.751778,-73.213444,10.0,0.22,,DN,Y,"OM SAI BROADCASTING, LLC",,,,,
AM60764,AM,AM,WDAK,540,LIC,1,D,COLUMBUS,GA,US,32.432917,-84.9505,4.0,0.038,,DN,,"IHM LICENSES, LLC",,,,,
AM18269,AM,AM,WETC,540,LIC,1,B,WENDELL-ZEBULON,NC,US,35.869306,-78.431944,10.0,4.4,,DN,Y,"DIVINE MERCY RADIO, INC.",,,,,
AM51970,AM,AM,WFLF,540,LIC,1,B,PINE HILLS,FL,US,28.481667,-81.66175,50.0,46.0,,DN,Y,"IHM LICENSES, LLC",,,,,
